record_id,timestamp,user_id,age,activity_type,duration_min,calories_burned,heart_rate_avg,steps,sleep_hours,weight_kg
61,2025-05-18 04:01:54,U020,54,Running,42,225,138,18315,7.6,78.9
62,2025-08-02 07:23:54,U035,43,Swimming,102,289,121,14515,3.3,64.5
63,2025-09-09 06:17:54,U033,42,Walking,78,194,88,1872,3.2,77.6
64,2025-07-10 04:22:54,U002,54,Strength Training,66,387,89,12521,6.5,58.0
65,2025-06-07 02:04:54,U034,20,Cycling,29,226,85,6060,6.8,68.5
66,2025-06-27 01:16:54,U004,69,Walking,22,369,106,14396,6.6,65.7
67,2025-06-06 12:21:54,U048,68,Yoga,81,426,159,370,5.1,87.5
68,2025-06-11 01:43:54,U001,63,Cycling,38,120,76,16779,8.5,80.4
69,2025-06-13 17:45:54,U025,36,Running,117,389,142,721,6.5,75.1
70,2025-10-01 05:02:54,U002,51,HIIT,13,192,62,15423,3.3,102.3
71,2025-09-24 08:44:54,U039,32,Strength Training,83,330,168,8432,6.3,53.7
72,2025-06-05 09:18:54,U035,60,Swimming,116,433,95,16232,6.8,78.1
73,2025-10-04 00:17:54,U007,60,Swimming,73,224,128,22440,3.6,54.8
74,2025-05-30 23:11:54,U045,37,Swimming,112,188,102,20883,4.8,82.7
75,2025-10-02 05:12:54,U030,44,Yoga,19,224,158,15358,6.3,53.5
76,2025-05-16 02:31:54,U015,50,Running,10,427,145,22113,4.3,68.8
77,2025-05-31 15:00:54,U026,51,Running,97,169,144,10749,7.2,67.3
78,2025-07-14 03:36:54,U008,31,Running,70,390,78,17861,3.9,78.6
79,2025-04-28 22:25:54,U041,47,HIIT,23,443,108,11255,9.4,74.8
80,2025-09-06 22:14:54,U049,58,Running,99,167,178,20214,8.8,66.5
81,2025-08-23 04:41:54,U049,68,Cycling,91,370,121,16206,9.2,84.2
82,2025-10-09 02:01:54,U030,55,Walking,68,431,137,16443,3.0,76.3
83,2025-09-21 17:57:54,U013,38,HIIT,95,124,105,18334,4.3,51.3
84,2025-08-30 17:09:54,U001,48,Walking,25,341,88,16892,8.7,61.8
85,2025-09-22 00:01:54,U021,34,HIIT,16,317,167,21514,8.2,82.2
86,2025-09-10 01:02:54,U011,19,Walking,33,125,143,21400,5.7,61.0
87,2025-09-08 01:26:54,U035,58,Yoga,20,292,136,23482,4.2,70.3
88,2025-09-11 13:58:54,U046,22,Walking,42,351,66,10128,7.9,80.0
89,2025-08-23 03:00:54,U025,62,Cycling,21,345,62,15211,4.3,51.9
90,2025-05-30 19:39:54,U042,47,Walking,46,427,80,18973,7.7,49.0
91,2025-09-27 09:35:54,U025,49,Swimming,104,313,100,15990,6.5,73.3
92,2025-06-25 19:37:54,U004,31,Yoga,11,272,119,18301,3.7,67.4
93,2025-05-15 16:06:54,U017,63,Yoga,108,369,165,24789,5.4,73.4
94,2025-08-07 22:39:54,U050,23,Swimming,5,376,89,13162,8.4,88.1
95,2025-07-29 21:19:54,U003,66,Yoga,108,206,63,20934,6.6,74.2
96,2025-07-30 19:56:54,U044,59,Strength Training,79,344,118,5935,8.9,69.6
97,2025-05-21 23:04:54,U004,27,Swimming,42,50,177,9637,7.7,56.4
98,2025-08-23 05:29:54,U039,25,Cycling,70,50,62,21683,3.3,58.2
99,2025-06-03 09:47:54,U048,61,HIIT,112,369,99,5892,8.7,53.1
100,2025-09-27 10:06:54,U004,35,Strength Training,51,74,152,18995,5.1,35.3
101,2025-06-05 01:48:54,U006,17,Yoga,45,330,157,21286,6.8,63.2
102,2025-05-21 04:20:54,U030,34,HIIT,87,362,93,10166,5.6,59.0
103,2025-08-19 18:03:54,U035,56,Yoga,64,318,107,19054,8.6,77.1
104,2025-06-13 14:32:54,U020,67,Strength Training,14,402,104,4148,8.6,55.0
105,2025-07-04 23:13:54,U028,34,Yoga,76,319,106,5375,7.4,71.9
106,2025-08-26 08:02:54,U029,41,Running,65,422,121,19134,7.5,43.2
107,2025-07-05 03:08:54,U022,20,Yoga,22,313,139,7286,6.1,76.0
108,2025-07-23 22:37:54,U033,19,HIIT,79,567,148,7565,6.4,64.3
109,2025-10-02 13:06:54,U029,28,Walking,40,477,98,633,4.9,62.9
110,2025-05-24 22:40:54,U003,67,Strength Training,109,50,97,15952,5.2,73.3
111,2025-10-06 14:49:54,U043,51,Running,47,436,128,14000,4.3,73.9
112,2025-04-24 14:20:54,U028,42,Yoga,117,313,147,9764,5.5,62.0
113,2025-09-03 07:41:54,U018,31,Walking,19,417,113,15511,5.9,63.2
114,2025-10-07 06:42:54,U002,32,Cycling,21,99,84,13967,7.9,72.2
115,2025-07-22 17:52:54,U012,64,HIIT,51,318,68,11677,8.8,62.5
116,2025-06-09 06:27:54,U014,50,Walking,118,271,155,24984,4.9,87.5
117,2025-05-05 05:25:54,U024,65,Strength Training,78,315,61,4079,5.0,69.0
118,2025-08-08 06:48:54,U030,48,HIIT,13,502,138,16181,7.1,67.1
119,2025-08-16 21:34:54,U018,33,Walking,113,230,139,11995,7.7,79.7
120,2025-09-13 15:36:54,U017,23,Yoga,107,397,104,9017,6.5,71.7
121,2025-06-05 16:41:54,U012,25,Yoga,79,223,158,5213,8.6,70.8
122,2025-05-13 22:47:54,U021,66,Cycling,70,416,157,17951,8.2,63.5
123,2025-09-19 02:50:54,U041,49,Swimming,60,301,98,20424,5.2,88.4
124,2025-06-09 04:54:54,U008,23,Strength Training,77,50,161,19046,4.8,48.0
125,2025-06-12 13:44:54,U013,37,Cycling,109,240,85,13407,4.2,84.8
126,2025-08-19 04:20:54,U047,61,Yoga,15,552,136,8650,6.1,77.5
127,2025-06-11 00:13:54,U011,57,Walking,17,281,151,19878,9.5,61.8
128,2025-06-20 02:50:54,U023,38,Walking,67,315,81,23000,9.0,47.2
129,2025-08-25 11:58:54,U028,47,Yoga,96,332,179,19992,4.2,72.5
130,2025-07-05 14:24:54,U005,26,HIIT,95,115,137,18294,8.1,72.0
131,2025-07-17 03:59:54,U047,36,Cycling,74,233,60,11448,6.6,89.7
132,2025-10-12 21:55:54,U038,22,Walking,63,223,142,11047,7.4,53.2
133,2025-08-13 02:48:54,U001,68,Swimming,27,228,85,16060,4.1,84.9
134,2025-08-11 11:40:54,U039,42,Walking,21,334,130,5912,8.1,69.4
135,2025-09-10 01:52:54,U019,22,Yoga,98,446,161,3411,7.6,80.1
136,2025-07-02 18:18:54,U023,34,Strength Training,67,252,87,19470,6.1,89.2
137,2025-08-26 12:54:54,U038,37,Running,53,202,143,23909,9.5,70.1
138,2025-07-10 13:13:54,U011,45,Walking,80,276,63,7633,9.0,50.9
139,2025-04-25 03:12:54,U007,39,Strength Training,105,247,82,10733,4.0,54.4
140,2025-09-18 20:22:54,U008,37,Yoga,81,312,141,15794,7.2,67.9
141,2025-09-25 07:57:54,U016,22,Running,19,289,127,2487,7.2,64.8
142,2025-06-07 11:44:54,U034,42,Strength Training,16,281,110,3402,7.6,78.5
143,2025-05-28 10:47:54,U037,32,Cycling,57,254,178,6742,7.5,60.9
144,2025-06-03 23:43:54,U038,40,Swimming,112,170,158,11410,6.1,62.9
145,2025-07-09 13:43:54,U025,57,Running,104,388,140,4991,8.8,82.7
146,2025-04-29 09:35:54,U033,23,Running,112,50,112,9929,3.8,57.0
147,2025-04-29 03:08:54,U043,58,Walking,114,83,117,2754,6.9,81.2
148,2025-08-22 10:50:54,U021,43,HIIT,46,186,78,8109,4.9,54.9
149,2025-05-20 15:31:54,U024,69,Cycling,75,193,166,10084,7.8,66.1
150,2025-09-01 05:07:54,U041,53,HIIT,79,318,163,18666,6.9,61.9
151,2025-10-16 07:25:54,U022,16,Cycling,103,342,102,16531,7.0,53.4
152,2025-06-27 03:28:54,U001,67,Walking,13,314,67,16791,5.6,80.7
153,2025-09-18 14:55:54,U038,36,Swimming,61,169,149,11757,5.2,55.4
154,2025-06-29 07:43:54,U029,23,Strength Training,82,281,79,22294,5.9,81.3
155,2025-04-24 18:45:54,U037,39,Swimming,32,275,144,1354,9.1,73.9
156,2025-08-06 07:45:54,U026,34,Cycling,118,169,140,18420,6.0,64.2
157,2025-08-04 05:57:54,U030,33,Strength Training,16,209,111,13085,4.9,67.1
158,2025-06-01 23:11:54,U013,23,Running,46,279,101,21070,3.2,57.6
159,2025-05-08 21:33:54,U010,60,Swimming,115,308,116,15851,6.7,98.3
160,2025-07-22 17:52:54,U012,64,HIIT,51,318,68,11677,8.8,62.5
161,2025-08-09 19:17:54,U033,34,HIIT,18,391,115,16758,3.6,52.9
162,2025-08-23 19:36:54,U019,48,Swimming,6,333,102,5521,5.3,72.3
163,2025-08-26 02:17:54,U011,48,Strength Training,95,339,155,24819,8.1,82.7
164,2025-09-02 11:04:54,U030,42,Strength Training,71,235,163,22904,3.0,81.9
165,2025-05-08 17:22:54,U022,42,Running,108,316,162,10795,6.3,53.2
166,2025-10-16 12:55:54,U031,63,Running,93,348,107,8636,4.8,95.4
167,2025-09-28 22:31:54,U011,52,Walking,66,468,140,12933,7.9,85.8
168,2025-08-13 12:20:54,U041,44,Cycling,77,264,153,13874,4.2,72.8
169,2025-06-16 19:29:54,U030,34,HIIT,94,462,173,19741,3.3,78.6
170,2025-07-20 14:46:54,U026,50,Running,18,237,80,23838,9.4,45.3
171,2025-10-15 18:30:54,U014,40,Yoga,33,160,143,8970,4.2,79.4
172,2025-05-07 04:31:54,U035,42,Cycling,15,50,162,15138,8.2,48.1
173,2025-08-26 04:41:54,U050,62,Strength Training,22,114,163,14068,3.8,63.3
174,2025-07-29 17:17:54,U008,29,Cycling,84,209,135,16733,3.4,81.9
175,2025-08-06 05:11:54,U044,31,HIIT,98,387,128,22336,6.3,91.6
176,2025-09-15 12:30:54,U049,58,Strength Training,53,236,82,9498,5.4,59.3
177,2025-08-23 11:54:54,U031,43,Strength Training,96,67,149,21295,9.4,87.0
178,2025-07-28 16:07:54,U034,23,Walking,18,325,76,19575,9.4,80.1
179,2025-10-02 04:53:54,U006,68,Yoga,70,151,108,12397,7.6,96.3
180,2025-09-26 11:07:54,U024,20,Yoga,26,376,150,20748,3.7,69.2
181,2025-06-02 01:56:54,U034,17,HIIT,13,326,159,960,4.9,62.4
182,2025-06-04 16:31:54,U011,45,Swimming,54,365,125,15014,7.7,48.3
183,2025-06-27 01:16:54,U004,69,Walking,22,369,106,14396,6.6,65.7
184,2025-05-05 11:55:54,U026,31,Cycling,90,187,136,22910,3.6,57.1
185,2025-09-22 00:27:54,U049,68,Yoga,95,362,165,8877,6.1,47.9
186,2025-08-16 01:12:54,U017,16,Yoga,13,312,85,3126,5.9,66.2
187,2025-07-08 21:56:54,U028,39,Walking,105,269,111,22972,5.5,59.0
188,2025-07-22 21:40:54,U022,69,Strength Training,112,335,86,17624,8.3,76.9
189,2025-08-19 10:13:54,U028,34,Yoga,112,311,163,11583,4.7,71.7
190,2025-10-02 09:01:54,U016,53,Yoga,100,381,127,10074,6.0,90.3
191,2025-06-15 22:11:54,U015,60,Yoga,95,302,115,12602,4.2,67.8
192,2025-04-30 07:54:54,U050,54,Yoga,97,274,179,13971,7.4,87.0
193,2025-07-03 16:21:54,U049,64,Strength Training,61,377,149,13152,6.9,83.4
194,2025-05-16 02:46:54,U015,30,Walking,112,208,148,17539,5.1,44.3
195,2025-08-14 19:46:54,U021,66,Swimming,116,192,155,1803,8.8,71.2
196,2025-05-28 13:00:54,U011,62,Yoga,84,435,130,18532,6.8,46.2
197,2025-10-10 22:31:54,U045,17,Yoga,65,408,73,8355,4.2,89.4
198,2025-06-12 04:53:54,U021,41,Strength Training,99,585,89,22822,8.0,59.3
199,2025-10-11 21:37:54,U009,66,Yoga,74,230,72,16001,4.3,98.6
200,2025-07-11 04:47:54,U027,44,Running,68,241,80,7358,7.4,72.1
